.id,date,name,variable,value
RMendeley,2012-04-11,karthikram,additions,9
RMendeley,2012-04-09,karthikram,additions,7
RMendeley,2012-03-13,karthikram,additions,24
RMendeley,2012-02-08,cboettig,additions,1
RMendeley,2012-04-20,karthikram,additions,9
RMendeley,2012-03-13,karthikram,additions,4
RMendeley,2012-11-27,karthikram,additions,0
RMendeley,2011-05-06,cboettig,additions,12
RMendeley,2012-03-13,karthikram,additions,1
RMendeley,2012-03-14,karthikram,additions,1
RMendeley,2012-03-13,karthikram,additions,3
RMendeley,2012-03-13,karthikram,additions,1
RMendeley,2012-04-04,karthikram,additions,1
RMendeley,2011-05-12,cboettig,additions,100
RMendeley,2012-03-13,karthikram,additions,12
RMendeley,2012-04-17,karthikram,additions,12
RMendeley,2012-11-27,karthikram,additions,6
RMendeley,2012-03-13,karthikram,additions,17
RMendeley,2012-01-17,cboettig,additions,188
RMendeley,2012-04-16,karthikram,additions,463
RMendeley,2012-03-13,karthikram,additions,6
RMendeley,2012-04-11,karthikram,additions,1
RMendeley,2012-03-13,karthikram,additions,2
RMendeley,2012-03-13,karthikram,additions,1
RMendeley,2012-04-22,karthikram,additions,4
RMendeley,2012-03-21,karthikram,additions,1
RMendeley,2011-10-09,karthikram,additions,16
RMendeley,2012-04-13,karthikram,additions,1
RMendeley,2011-11-30,cboettig,additions,312
RMendeley,2012-03-14,karthikram,additions,1
RMendeley,2012-04-11,karthikram,additions,4
RMendeley,2012-03-13,karthikram,additions,0
RMendeley,2012-02-08,cboettig,additions,10
RMendeley,2012-03-13,karthikram,additions,119
RMendeley,2011-05-06,cboettig,additions,166
RMendeley,2012-09-09,karthikram,additions,95
RMendeley,2012-03-21,karthikram,additions,0
RMendeley,2012-03-14,karthikram,additions,1
RMendeley,2012-03-13,karthikram,additions,1
RMendeley,2012-03-13,karthikram,additions,16
RMendeley,2012-03-13,karthikram,additions,88
RMendeley,2012-04-11,karthikram,additions,1
RMendeley,2011-05-06,cboettig,additions,2
RMendeley,2012-03-27,duncantl,additions,376
RMendeley,2012-04-20,karthikram,additions,2
RMendeley,2012-04-20,karthikram,additions,50
RMendeley,2012-04-04,karthikram,additions,2590
RMendeley,2012-04-11,karthikram,additions,238
RMendeley,2012-11-27,karthikram,additions,1
RMendeley,2012-03-13,karthikram,additions,20
RMendeley,2012-03-13,karthikram,additions,17
RMendeley,2012-01-13,cboettig,additions,183
RMendeley,2012-03-13,karthikram,additions,25
RMendeley,2012-01-13,cboettig,additions,387
RMendeley,2011-05-12,cboettig,additions,20
RMendeley,2012-04-22,karthikram,additions,2
RMendeley,2012-04-13,karthikram,additions,2
RMendeley,2012-04-03,karthikram,additions,32
RMendeley,2012-03-14,karthikram,additions,6
RMendeley,2012-03-14,karthikram,additions,4
RMendeley,2012-04-03,karthikram,additions,13
RMendeley,2012-02-22,karthikram,additions,5
RMendeley,2012-03-13,karthikram,additions,13
RMendeley,2012-03-13,karthikram,additions,0
RMendeley,2012-03-13,karthikram,additions,0
RMendeley,2012-04-12,karthikram,additions,1
RMendeley,2012-04-20,karthikram,additions,5
RMendeley,2012-03-15,karthikram,additions,1
RMendeley,2012-03-13,karthikram,additions,0
RMendeley,2012-03-13,karthikram,additions,35
RMendeley,2012-03-16,karthikram,additions,2
RMendeley,2012-04-20,karthikram,additions,1
RMendeley,2012-03-14,karthikram,additions,1
RMendeley,2011-06-13,cboettig,additions,1
RMendeley,2012-03-13,karthikram,additions,1
RMendeley,2012-03-13,karthikram,additions,0
RMendeley,2012-04-22,karthikram,additions,2
RMendeley,2012-04-11,karthikram,additions,2
RMendeley,2012-04-04,karthikram,additions,817
RMendeley,2012-03-13,karthikram,additions,13
RMendeley,2012-07-20,karthikram,additions,1
RMendeley,2012-04-20,karthikram,additions,4
RMendeley,2012-07-19,karthikram,additions,12639
RMendeley,2011-06-13,cboettig,additions,45
RMendeley,2011-05-12,duncantl,additions,3
RMendeley,2012-11-27,karthikram,additions,2
RMendeley,2012-03-13,karthikram,additions,22
RMendeley,2012-01-13,cboettig,additions,96
RMendeley,2012-03-13,karthikram,additions,3
RMendeley,2012-04-20,karthikram,additions,1
RMendeley,2012-04-11,karthikram,additions,1
RMendeley,2012-01-17,cboettig,additions,2
RMendeley,2012-04-22,karthikram,additions,1
RMendeley,2012-03-13,karthikram,additions,1
RMendeley,2012-04-03,karthikram,additions,9
RMendeley,2012-03-13,karthikram,additions,0
RMendeley,2012-03-13,karthikram,additions,13
RMendeley,2012-03-13,karthikram,additions,20
RMendeley,2012-03-13,karthikram,additions,1
RMendeley,2012-04-14,duncantl,additions,7
RMendeley,2012-03-13,karthikram,additions,13
RMendeley,2012-03-14,karthikram,additions,4
RMendeley,2012-04-11,karthikram,additions,0
RMendeley,2012-03-14,karthikram,additions,7
RMendeley,2012-04-22,karthikram,additions,0
RMendeley,2012-04-16,karthikram,additions,2
RMendeley,2012-09-10,karthikram,additions,7
RMendeley,2012-03-13,karthikram,additions,30
RMendeley,2012-03-13,karthikram,additions,21
RMendeley,2012-04-20,karthikram,additions,70
RMendeley,2012-03-14,karthikram,additions,6
RMendeley,2012-03-13,karthikram,additions,20
RMendeley,2012-08-05,cboettig,additions,1
RMendeley,2012-03-13,karthikram,additions,13
RMendeley,2012-03-13,karthikram,additions,21
RMendeley,2012-04-11,karthikram,additions,2
RMendeley,2012-04-20,karthikram,additions,5
RMendeley,2012-03-21,karthikram,additions,1
RMendeley,2012-02-01,karthikram,additions,1
RMendeley,2012-11-27,karthikram,additions,0
RMendeley,2012-03-14,karthikram,additions,24
RMendeley,2012-03-13,karthikram,additions,2
RMendeley,2012-03-21,karthikram,additions,0
RMendeley,2012-03-14,karthikram,additions,2
RMendeley,2012-01-16,cboettig,additions,18
RMendeley,2012-03-13,karthikram,additions,24
RMendeley,2012-04-11,karthikram,additions,3
RMendeley,2012-11-27,karthikram,additions,1
RMendeley,2012-04-03,karthikram,additions,16
RMendeley,2012-04-20,karthikram,additions,14
RMendeley,2011-05-23,cboettig,additions,14
RMendeley,2012-04-14,karthikram,additions,2
RMendeley,2012-09-10,karthikram,additions,1
RMendeley,2012-03-21,karthikram,additions,15
RMendeley,2012-03-13,karthikram,additions,20
RMendeley,2012-04-14,karthikram,additions,35
RMendeley,2012-03-13,karthikram,additions,13
RMendeley,2012-11-27,karthikram,additions,1
RMendeley,2012-04-20,karthikram,additions,50
RMendeley,2012-03-13,karthikram,additions,2
RMendeley,2011-10-09,karthikram,additions,31
RMendeley,2012-04-20,karthikram,additions,57
RMendeley,2011-11-30,cboettig,additions,123
RMendeley,2012-03-13,karthikram,additions,3
RMendeley,2012-03-13,karthikram,additions,17
RMendeley,2012-03-13,karthikram,additions,1
RMendeley,2012-03-13,karthikram,additions,14
RMendeley,2012-03-13,karthikram,additions,26
RMendeley,2012-04-14,duncantl,additions,30
RMendeley,2012-03-16,karthikram,additions,3
RMendeley,2012-01-17,cboettig,deletions,7
RMendeley,2012-03-13,karthikram,deletions,1
RMendeley,2012-03-13,karthikram,deletions,1
RMendeley,2012-04-11,karthikram,deletions,2
RMendeley,2012-03-14,karthikram,deletions,1
RMendeley,2011-05-13,cboettig,deletions,3
RMendeley,2012-04-20,karthikram,deletions,17
RMendeley,2012-03-13,karthikram,deletions,10
RMendeley,2012-04-11,karthikram,deletions,13
RMendeley,2012-04-04,karthikram,deletions,1
RMendeley,2012-04-14,karthikram,deletions,22
RMendeley,2012-03-13,karthikram,deletions,16
RMendeley,2012-03-13,karthikram,deletions,1
RMendeley,2011-06-09,duncantl,deletions,0
RMendeley,2012-01-17,cboettig,deletions,4
RMendeley,2012-11-27,karthikram,deletions,2
RMendeley,2012-04-20,karthikram,deletions,2
RMendeley,2011-05-13,cboettig,deletions,2
RMendeley,2012-04-22,karthikram,deletions,28
RMendeley,2012-03-13,karthikram,deletions,0
RMendeley,2012-03-13,karthikram,deletions,1
RMendeley,2012-03-13,karthikram,deletions,3
RMendeley,2012-03-13,karthikram,deletions,1
RMendeley,2012-04-22,karthikram,deletions,0
RMendeley,2012-03-13,karthikram,deletions,3
RMendeley,2012-03-13,karthikram,deletions,4
RMendeley,2012-09-10,karthikram,deletions,69
RMendeley,2012-03-13,karthikram,deletions,1
RMendeley,2012-01-17,cboettig,deletions,0
RMendeley,2012-03-13,karthikram,deletions,1
RMendeley,2012-03-13,karthikram,deletions,1
RMendeley,2012-03-13,karthikram,deletions,2
RMendeley,2011-05-12,cboettig,deletions,0
RMendeley,2012-04-20,karthikram,deletions,4
RMendeley,2012-03-13,karthikram,deletions,0
RMendeley,2012-03-14,karthikram,deletions,4
RMendeley,2012-04-22,karthikram,deletions,425
RMendeley,2012-08-05,cboettig,deletions,24
RMendeley,2012-04-22,karthikram,deletions,19
RMendeley,2012-03-14,karthikram,deletions,1
RMendeley,2012-03-13,karthikram,deletions,2
RMendeley,2011-06-13,cboettig,deletions,0
RMendeley,2011-05-25,cboettig,deletions,2
RMendeley,2012-03-13,karthikram,deletions,2
RMendeley,2012-03-13,karthikram,deletions,1
RMendeley,2012-04-20,karthikram,deletions,42
RMendeley,2012-03-13,karthikram,deletions,2
RMendeley,2012-03-13,karthikram,deletions,0
RMendeley,2012-04-04,karthikram,deletions,111
RMendeley,2012-04-04,karthikram,deletions,854
RMendeley,2012-03-13,karthikram,deletions,3
RMendeley,2012-03-13,karthikram,deletions,12
RMendeley,2012-04-14,karthikram,deletions,1
RMendeley,2012-04-22,karthikram,deletions,0
RMendeley,2012-03-13,karthikram,deletions,5
RMendeley,2012-03-15,karthikram,deletions,0
RMendeley,2012-04-04,karthikram,deletions,2
RMendeley,2012-04-20,karthikram,deletions,17
RMendeley,2012-04-20,karthikram,deletions,26
RMendeley,2012-03-13,karthikram,deletions,5
RMendeley,2012-01-17,cboettig,deletions,7
RMendeley,2012-11-27,karthikram,deletions,1
RMendeley,2012-04-11,karthikram,deletions,461
RMendeley,2012-04-09,karthikram,deletions,7
RMendeley,2012-03-13,karthikram,deletions,1
RMendeley,2012-02-08,cboettig,deletions,0
RMendeley,2012-04-20,karthikram,deletions,9
RMendeley,2012-03-13,karthikram,deletions,4
RMendeley,2012-11-27,karthikram,deletions,1
RMendeley,2011-05-06,cboettig,deletions,1
RMendeley,2012-03-13,karthikram,deletions,1
RMendeley,2012-03-14,karthikram,deletions,2
RMendeley,2012-03-13,karthikram,deletions,3
RMendeley,2012-03-13,karthikram,deletions,4
RMendeley,2012-04-04,karthikram,deletions,1
RMendeley,2011-05-12,cboettig,deletions,1
RMendeley,2012-03-13,karthikram,deletions,1
RMendeley,2012-04-17,karthikram,deletions,2
RMendeley,2012-11-27,karthikram,deletions,5
RMendeley,2012-03-13,karthikram,deletions,10
RMendeley,2012-01-17,cboettig,deletions,88
RMendeley,2012-04-16,karthikram,deletions,745
RMendeley,2012-03-13,karthikram,deletions,3
RMendeley,2012-04-11,karthikram,deletions,1
RMendeley,2012-03-13,karthikram,deletions,1
RMendeley,2012-03-13,karthikram,deletions,1
RMendeley,2012-04-22,karthikram,deletions,1
RMendeley,2012-03-21,karthikram,deletions,54
RMendeley,2011-10-09,karthikram,deletions,0
RMendeley,2012-04-13,karthikram,deletions,0
RMendeley,2011-11-30,cboettig,deletions,12
RMendeley,2012-03-14,karthikram,deletions,1
RMendeley,2012-04-11,karthikram,deletions,8
RMendeley,2012-03-13,karthikram,deletions,0
RMendeley,2012-02-08,cboettig,deletions,1
RMendeley,2012-03-13,karthikram,deletions,0
RMendeley,2011-05-06,cboettig,deletions,0
RMendeley,2012-09-09,karthikram,deletions,6
RMendeley,2012-03-21,karthikram,deletions,774
RMendeley,2012-03-14,karthikram,deletions,1
RMendeley,2012-03-13,karthikram,deletions,1
RMendeley,2012-03-13,karthikram,deletions,3
RMendeley,2012-03-13,karthikram,deletions,53
RMendeley,2012-04-11,karthikram,deletions,0
RMendeley,2011-05-06,cboettig,deletions,2
RMendeley,2012-03-27,duncantl,deletions,11
RMendeley,2012-04-20,karthikram,deletions,2
RMendeley,2012-04-20,karthikram,deletions,22
RMendeley,2012-04-04,karthikram,deletions,1068
RMendeley,2012-04-11,karthikram,deletions,0
RMendeley,2012-11-27,karthikram,deletions,1
RMendeley,2012-03-13,karthikram,deletions,1
RMendeley,2012-03-13,karthikram,deletions,3
RMendeley,2012-01-13,cboettig,deletions,87
RMendeley,2012-03-13,karthikram,deletions,0
RMendeley,2012-01-13,cboettig,deletions,0
RMendeley,2011-05-12,cboettig,deletions,12
RMendeley,2012-04-22,karthikram,deletions,460
RMendeley,2012-04-13,karthikram,deletions,0
RMendeley,2012-04-03,karthikram,deletions,0
RMendeley,2012-03-14,karthikram,deletions,6
RMendeley,2012-03-14,karthikram,deletions,4
RMendeley,2012-04-03,karthikram,deletions,14
RMendeley,2012-02-22,karthikram,deletions,5
RMendeley,2012-03-13,karthikram,deletions,3
RMendeley,2012-03-13,karthikram,deletions,2
RMendeley,2012-03-13,karthikram,deletions,1
RMendeley,2012-04-12,karthikram,deletions,1
RMendeley,2012-04-20,karthikram,deletions,1
RMendeley,2012-03-15,karthikram,deletions,0
RMendeley,2012-03-13,karthikram,deletions,0
RMendeley,2012-03-13,karthikram,deletions,0
RMendeley,2012-03-16,karthikram,deletions,1
RMendeley,2012-04-20,karthikram,deletions,3
RMendeley,2012-03-14,karthikram,deletions,0
RMendeley,2011-06-13,cboettig,deletions,1
RMendeley,2012-03-13,karthikram,deletions,1
RMendeley,2012-03-13,karthikram,deletions,1
RMendeley,2012-04-22,karthikram,deletions,0
RMendeley,2012-04-11,karthikram,deletions,1
RMendeley,2012-04-04,karthikram,deletions,1
RMendeley,2012-03-13,karthikram,deletions,3
RMendeley,2012-07-20,karthikram,deletions,6
RMendeley,2012-04-20,karthikram,deletions,4
RMendeley,2012-07-19,karthikram,deletions,0
RMendeley,2011-06-13,cboettig,deletions,13
RMendeley,2011-05-12,duncantl,deletions,2
RMendeley,2012-11-27,karthikram,deletions,2
RMendeley,2012-03-13,karthikram,deletions,5
RMendeley,2012-01-13,cboettig,deletions,13
RMendeley,2012-03-13,karthikram,deletions,3
RMendeley,2012-04-20,karthikram,deletions,1
RMendeley,2012-04-11,karthikram,deletions,0
RMendeley,2012-01-17,cboettig,deletions,31
RMendeley,2012-04-22,karthikram,deletions,0
RMendeley,2012-03-13,karthikram,deletions,1
RMendeley,2012-04-03,karthikram,deletions,10
RMendeley,2012-03-13,karthikram,deletions,1
RMendeley,2012-03-13,karthikram,deletions,3
RMendeley,2012-03-13,karthikram,deletions,0
RMendeley,2012-03-13,karthikram,deletions,1
RMendeley,2012-04-14,duncantl,deletions,3
RMendeley,2012-03-13,karthikram,deletions,3
RMendeley,2012-03-14,karthikram,deletions,1
RMendeley,2012-04-11,karthikram,deletions,39
RMendeley,2012-03-14,karthikram,deletions,2
RMendeley,2012-04-22,karthikram,deletions,8
RMendeley,2012-04-16,karthikram,deletions,1
RMendeley,2012-09-10,karthikram,deletions,9
RMendeley,2012-03-13,karthikram,deletions,0
RMendeley,2012-03-13,karthikram,deletions,0
RMendeley,2012-04-20,karthikram,deletions,68
RMendeley,2012-03-14,karthikram,deletions,0
RMendeley,2012-03-13,karthikram,deletions,0
RMendeley,2012-08-05,cboettig,deletions,1
RMendeley,2012-03-13,karthikram,deletions,0
RMendeley,2012-03-13,karthikram,deletions,0
RMendeley,2012-04-11,karthikram,deletions,1
RMendeley,2012-04-20,karthikram,deletions,2
RMendeley,2012-03-21,karthikram,deletions,0
RMendeley,2012-02-01,karthikram,deletions,0
RMendeley,2012-11-27,karthikram,deletions,1849
RMendeley,2012-03-14,karthikram,deletions,3
RMendeley,2012-03-13,karthikram,deletions,2
RMendeley,2012-03-21,karthikram,deletions,20
RMendeley,2012-03-14,karthikram,deletions,1
RMendeley,2012-01-16,cboettig,deletions,9
RMendeley,2012-03-13,karthikram,deletions,5
RMendeley,2012-04-11,karthikram,deletions,11
RMendeley,2012-11-27,karthikram,deletions,0
RMendeley,2012-04-03,karthikram,deletions,11
RMendeley,2012-04-20,karthikram,deletions,12
RMendeley,2011-05-23,cboettig,deletions,9
RMendeley,2012-04-14,karthikram,deletions,2
RMendeley,2012-09-10,karthikram,deletions,1
RMendeley,2012-03-21,karthikram,deletions,0
RMendeley,2012-03-13,karthikram,deletions,0
RMendeley,2012-04-14,karthikram,deletions,0
RMendeley,2012-03-13,karthikram,deletions,3
RMendeley,2012-11-27,karthikram,deletions,0
RMendeley,2012-04-20,karthikram,deletions,25
RMendeley,2012-03-13,karthikram,deletions,2
RMendeley,2011-10-09,karthikram,deletions,0
RMendeley,2012-04-20,karthikram,deletions,49
RMendeley,2011-11-30,cboettig,deletions,47
RMendeley,2012-03-13,karthikram,deletions,5
RMendeley,2012-03-13,karthikram,deletions,0
RMendeley,2012-03-13,karthikram,deletions,1
RMendeley,2012-03-13,karthikram,deletions,4
RMendeley,2012-03-13,karthikram,deletions,0
RMendeley,2012-04-14,duncantl,deletions,22
RMendeley,2012-03-16,karthikram,deletions,2
taxize_,2011-05-23,SChamberlain,additions,4
taxize_,2012-10-19,SChamberlain,additions,162
taxize_,2012-11-29,EDiLD,additions,8
taxize_,2013-01-15,EDiLD,additions,1
taxize_,2013-01-15,EDiLD,additions,28
taxize_,2012-09-04,EDiLD,additions,19
taxize_,2013-01-28,EDiLD,additions,9
taxize_,2012-10-17,SChamberlain,additions,149
taxize_,2011-08-29,cboettig,additions,16
taxize_,2012-10-12,SChamberlain,additions,275
taxize_,2013-01-14,EDiLD,additions,6
taxize_,2011-09-02,SChamberlain,additions,1
taxize_,2013-01-25,SChamberlain,additions,6
taxize_,2011-09-02,SChamberlain,additions,32
taxize_,2012-05-03,SChamberlain,additions,1
taxize_,2012-11-28,EDiLD,additions,10
taxize_,2012-10-17,EDiLD,additions,0
taxize_,2012-12-04,EDiLD,additions,21
taxize_,2012-09-11,SChamberlain,additions,1
taxize_,2012-09-11,SChamberlain,additions,901
taxize_,2012-09-11,EDiLD,additions,2
taxize_,2012-08-29,SChamberlain,additions,92
taxize_,2013-01-03,SChamberlain,additions,8
taxize_,2012-10-22,SChamberlain,additions,74
taxize_,2012-09-01,EDiLD,additions,6
taxize_,2012-12-25,EDiLD,additions,0
taxize_,2011-09-30,SChamberlain,additions,25
taxize_,2012-10-16,SChamberlain,additions,231
taxize_,2013-01-11,EDiLD,additions,4
taxize_,2013-01-22,SChamberlain,additions,7
taxize_,2012-10-16,SChamberlain,additions,306
taxize_,2012-12-12,EDiLD,additions,3
taxize_,2012-09-04,EDiLD,additions,1
taxize_,2013-01-31,SChamberlain,additions,4
taxize_,2012-11-28,EDiLD,additions,24
taxize_,2012-09-11,EDiLD,additions,233
taxize_,2013-01-31,SChamberlain,additions,46
taxize_,2012-08-31,EDiLD,additions,6
taxize_,2012-09-04,EDiLD,additions,60
taxize_,2013-01-11,EDiLD,additions,1
taxize_,2011-09-11,SChamberlain,additions,3
taxize_,2011-05-22,SChamberlain,additions,135
taxize_,2012-12-04,EDiLD,additions,1
taxize_,2012-09-04,EDiLD,additions,42
taxize_,2012-08-26,SChamberlain,additions,2
taxize_,2012-12-25,EDiLD,additions,336
taxize_,2011-08-29,cboettig,additions,0
taxize_,2013-01-22,SChamberlain,additions,174
taxize_,2012-09-04,SChamberlain,additions,251
taxize_,2012-12-01,SChamberlain,additions,0
taxize_,2012-10-17,EDiLD,additions,40
taxize_,2012-12-09,SChamberlain,additions,74
taxize_,2012-12-07,SChamberlain,additions,8
taxize_,2013-01-11,EDiLD,additions,2
taxize_,2013-01-25,SChamberlain,additions,30
taxize_,2012-12-11,SChamberlain,additions,315
taxize_,2013-01-22,SChamberlain,additions,13
taxize_,2012-10-12,SChamberlain,additions,0
taxize_,2012-05-02,anirvan,additions,1
taxize_,2012-12-25,EDiLD,additions,386
taxize_,2011-05-23,SChamberlain,additions,159
taxize_,2013-02-19,SChamberlain,additions,0
taxize_,2012-09-18,SChamberlain,additions,19
taxize_,2012-11-09,SChamberlain,additions,4
taxize_,2012-10-22,SChamberlain,additions,11
taxize_,2013-02-23,EDiLD,additions,50
taxize_,2013-01-22,SChamberlain,additions,472
taxize_,2012-09-13,SChamberlain,additions,14
taxize_,2013-01-29,SChamberlain,additions,8
taxize_,2012-09-10,SChamberlain,additions,42
taxize_,2011-10-09,SChamberlain,additions,3
taxize_,2012-10-21,SChamberlain,additions,371
taxize_,2013-01-19,SChamberlain,additions,99
taxize_,2013-01-10,SChamberlain,additions,403
taxize_,2012-09-04,SChamberlain,additions,2
taxize_,2012-12-20,EDiLD,additions,7
taxize_,2011-09-26,SChamberlain,additions,2
taxize_,2012-12-12,EDiLD,additions,15
taxize_,2012-08-29,SChamberlain,additions,28
taxize_,2012-10-23,SChamberlain,additions,12
taxize_,2012-12-16,SChamberlain,additions,2
taxize_,2011-10-13,SChamberlain,additions,61
taxize_,2012-11-11,SChamberlain,additions,4
taxize_,2013-02-23,EDiLD,additions,47
taxize_,2012-12-12,EDiLD,additions,61
taxize_,2012-06-26,SChamberlain,additions,4
taxize_,2013-01-09,EDiLD,additions,6
taxize_,2012-08-13,SChamberlain,additions,1
taxize_,2013-02-23,EDiLD,additions,103
taxize_,2012-08-29,EDiLD,additions,3
taxize_,2012-10-14,SChamberlain,additions,8
taxize_,2013-01-11,EDiLD,additions,7
taxize_,2012-12-02,SChamberlain,additions,315
taxize_,2013-01-20,SChamberlain,additions,7
taxize_,2013-01-31,SChamberlain,additions,3
taxize_,2012-12-02,SChamberlain,additions,10
taxize_,2012-10-12,SChamberlain,additions,44
taxize_,2013-01-28,SChamberlain,additions,106
taxize_,2012-08-26,SChamberlain,additions,0
taxize_,2012-09-11,EDiLD,additions,16
taxize_,2011-10-27,SChamberlain,additions,10
taxize_,2012-09-01,SChamberlain,additions,33
taxize_,2012-11-28,SChamberlain,additions,20
taxize_,2013-01-30,SChamberlain,additions,421
taxize_,2012-09-10,EDiLD,additions,42
taxize_,2013-01-14,EDiLD,additions,9
taxize_,2013-02-24,EDiLD,additions,57
taxize_,2013-02-24,EDiLD,additions,60
taxize_,2012-10-12,cboettig,additions,3
taxize_,2012-09-04,EDiLD,additions,50
taxize_,2013-01-09,EDiLD,additions,2
taxize_,2012-12-06,SChamberlain,additions,8
taxize_,2012-09-04,EDiLD,additions,28
taxize_,2013-01-19,EDiLD,additions,34
taxize_,2012-10-17,EDiLD,additions,76
taxize_,2012-09-04,EDiLD,additions,4
taxize_,2012-08-27,EDiLD,additions,61
taxize_,2012-12-12,SChamberlain,additions,12
taxize_,2012-09-04,EDiLD,additions,32
taxize_,2012-07-15,SChamberlain,additions,31
taxize_,2013-01-09,EDiLD,additions,15
taxize_,2011-11-01,SChamberlain,additions,30
taxize_,2012-07-11,SChamberlain,additions,171
taxize_,2013-01-15,EDiLD,additions,8
taxize_,2012-03-25,SChamberlain,additions,229
taxize_,2013-01-31,SChamberlain,additions,14
taxize_,2013-01-03,SChamberlain,additions,27
taxize_,2013-01-29,SChamberlain,additions,1496
taxize_,2012-11-28,EDiLD,additions,1
taxize_,2011-05-23,SChamberlain,additions,194
taxize_,2013-02-24,EDiLD,additions,3
taxize_,2012-12-09,SChamberlain,additions,22
taxize_,2012-10-22,EDiLD,additions,1
taxize_,2011-06-03,SChamberlain,additions,14
taxize_,2012-10-17,EDiLD,additions,216
taxize_,2012-10-18,SChamberlain,additions,433
taxize_,2011-05-19,SChamberlain,additions,0
taxize_,2011-12-31,SChamberlain,additions,1
taxize_,2012-09-01,EDiLD,additions,30
taxize_,2013-01-09,EDiLD,additions,2
taxize_,2012-12-09,SChamberlain,additions,1074
taxize_,2012-08-30,EDiLD,additions,2
taxize_,2012-12-25,EDiLD,additions,68
taxize_,2011-08-27,cboettig,additions,15
taxize_,2012-08-26,SChamberlain,additions,43
taxize_,2013-01-11,EDiLD,additions,61
taxize_,2013-01-15,EDiLD,additions,46
taxize_,2012-09-11,SChamberlain,additions,31
taxize_,2012-12-20,EDiLD,additions,7
taxize_,2013-01-28,EDiLD,additions,9
taxize_,2011-12-31,SChamberlain,additions,10
taxize_,2012-09-11,EDiLD,additions,10
taxize_,2012-10-30,SChamberlain,additions,444
taxize_,2012-10-16,SChamberlain,additions,5
taxize_,2013-01-19,EDiLD,additions,48
taxize_,2013-01-15,EDiLD,additions,8
taxize_,2012-10-19,SChamberlain,additions,185
taxize_,2012-10-08,SChamberlain,additions,5
taxize_,2012-09-11,EDiLD,additions,31
taxize_,2012-09-10,EDiLD,additions,3
taxize_,2012-08-29,SChamberlain,additions,2
taxize_,2012-07-12,SChamberlain,additions,18
taxize_,2012-09-10,EDiLD,additions,3
taxize_,2012-10-17,EDiLD,additions,19
taxize_,2012-10-18,SChamberlain,additions,7
taxize_,2012-12-16,SChamberlain,additions,212
taxize_,2013-01-11,EDiLD,additions,20
taxize_,2011-05-19,SChamberlain,additions,1
taxize_,2012-10-17,EDiLD,additions,4
taxize_,2013-01-14,EDiLD,additions,15
taxize_,2012-12-07,SChamberlain,additions,0
taxize_,2013-02-19,SChamberlain,additions,23
